Season,Name,Team,playerid
1999,Pedro Martinez,Red Sox,200
1972,Steve Carlton,Phillies,1001964
1888,Silver King,Browns,1006943
1889,John Clarkson,Beaneaters,1002293
1886,Toad Ramsey,Colonels,1010688
1887,John Clarkson,White Stockings,1002293
1887,Toad Ramsey,Colonels,1010688
1973,Bert Blyleven,Twins,1001098
1908,Christy Mathewson,Giants,1008235
1883,Tim Keefe,Metropolitans,1006743
1884,Pud Galvin,Bisons,1004469
1892,Bill Hutchison,Colts,1006235
1997,Roger Clemens,Blue Jays,815
1884,Guy Hecker,Eclipse,1005573
2001,Randy Johnson,Diamondbacks,60
1876,Jim Devlin,Grays,1003249
1890,Bill Hutchison,Colts,1006235
1885,John Clarkson,White Stockings,1002293
1886,Matt Kilroy,Orioles,1006910
1965,Sandy Koufax,Dodgers,1007124
1946,Bob Feller,Indians,1003975
1884,Charlie Buffinton,Beaneaters,1001634
1970,Bob Gibson,Cardinals,1004662
1971,Fergie Jenkins,Cubs,1006388
1910,Walter Johnson,Senators,1006511
1915,Pete Alexander,Phillies,1000128
2004,Randy Johnson,Diamondbacks,60
2000,Randy Johnson,Diamondbacks,60
1998,Kevin Brown,Padres,642
1946,Hal Newhouser,Tigers,1009535
1884,Charley Radbourn,Grays,1010631
1995,Randy Johnson,Mariners,60
1999,Randy Johnson,Diamondbacks,60
1970,Fergie Jenkins,Cubs,1006388
1877,Jim Devlin,Grays,1003249
1883,Pud Galvin,Bisons,1004469
2000,Pedro Martinez,Red Sox,200
1969,Sam McDowell,Indians,1008476
2002,Curt Schilling,Diamondbacks,73
1912,Walter Johnson,Senators,1006511
1904,Rube Waddell,Athletics,1013467
1963,Sandy Koufax,Dodgers,1007124
1988,Roger Clemens,Red Sox,815
1908,Ed Walsh,White Sox,1013570
1971,Tom Seaver,Mets,1011708
1978,Ron Guidry,Yankees,1005124
1966,Sandy Koufax,Dodgers,1007124
2018,Jacob deGrom,Mets,10954
1885,Bobby Mathews,Athletics,1008234
1917,Pete Alexander,Phillies,1000128
1914,Cy Falkenberg,Hoosiers,1003913
1979,J.R. Richard,Astros,1010913
1985,Dwight Gooden,Mets,1004852
1969,Bob Gibson,Cardinals,1004662
1916,Walter Johnson,Senators,1006511
1980,Steve Carlton,Phillies,1001964
1971,Vida Blue,Athletics,1001094
2011,Roy Halladay,Phillies,1303
